category,metric,value
standard,map@5,0.3796915509259259
standard,precision@5,0.35333333333333333
standard,recall@5,0.15673949506666152
standard,map@10,0.3598715002204586
standard,precision@10,0.3204166666666667
standard,recall@10,0.19684568722566162
standard,map@20,0.24025621431449767
standard,precision@20,0.16020833333333334
standard,recall@20,0.19684568722566162
standard,mrr,0.49637235449735445
weighted,weighted_map@5,0.4821818576388889
weighted,ndcg@5,0.6498967159098087
weighted,weighted_map@10,0.45273356809975335
weighted,ndcg@10,0.6448927372466393
weighted,weighted_map@20,0.2354329022397918
weighted,ndcg@20,0.43209796252871274
