category,metric,value
standard,map@5,0.399662037037037
standard,precision@5,0.3729166666666667
standard,recall@5,0.15873011830114378
standard,map@10,0.3805069720017637
standard,precision@10,0.34270833333333334
standard,recall@10,0.2060714653164118
standard,map@20,0.25069871423867396
standard,precision@20,0.17135416666666667
standard,recall@20,0.2060714653164118
standard,mrr,0.5222660383597885
weighted,weighted_map@5,0.5257617256393298
weighted,ndcg@5,0.7074358584191747
weighted,weighted_map@10,0.49428007235358773
weighted,ndcg@10,0.698171746083674
weighted,weighted_map@20,0.2568872602509317
weighted,ndcg@20,0.46764964124976643
