category,metric,value
standard,map@5,0.3539658564814815
standard,precision@5,0.35
standard,recall@5,0.12745560717378274
standard,map@10,0.3353198072824809
standard,precision@10,0.32229166666666664
standard,recall@10,0.17264509922683965
standard,map@20,0.2115249625920931
standard,precision@20,0.16114583333333332
standard,recall@20,0.17264509922683965
standard,mrr,0.4701628637566138
weighted,weighted_map@5,0.5089013585758377
weighted,ndcg@5,0.7004132986732969
weighted,weighted_map@10,0.4821395641977791
weighted,ndcg@10,0.6913391613861426
weighted,weighted_map@20,0.25032805692162236
weighted,ndcg@20,0.4629510660006997
